DOMENICO SACCà,Codasyl,1
WOLFGANG KLAS,Systems,1
JAN M. ZYTKOW,Interactive,1
ANTONIO DI LEVA,Logical,1
FRANCISCO JOSé GARCíA,Laboratory,1
HOCK CHUAN CHAN,Language,1
VISHU KRISHNAMURTHY,Your,1
STEFANO ANTONIAZZI,Office,1
YORICK WILKS,Human-centred,1
R. CONEJO,Articulated,1
BALTASAR FERNáNDEZ-MANJóN,"Analysis,",1
AMIT P. SHETH,Building,1
BERND MAHR,1997,1
YORICK WILKS,Effective,1
FRANCISCO JOSé GARCíA,Adam,1
VALERIA DE ANTONELLIS,Database,1
ANTONIO DI LEVA,Codasyl,1
F. MANFREDI,Data,1
J. V. BENLLOCH,Modules,1
CIARáN BRYCE,Coordination,1
MIRA BALABAN,Methods,1
ERIK SANDEWALL,Ramification,1
LUIS E. ANIDO-RIAL,Interconnecting,1
JULIáN GUTIéRREZ SERRANO,Aid,1
A. J. FIELD,Languages,1
Q. WU,Bayesian,1
STEFANO ANTONIAZZI,Towards,1
VINCENZO MARZIALE,Flexible,1
PADHRAIC SMYTH,Induction,1
REINHARD WILHELM,Applications,1
P. A. MASSEY,Benchmarking,1
ROGER B. DANNENBERG,Programming,1
TOBIN J. LEHMAN,Lock,1
PETER MCBURNEY,Discovery,1
LILIANA FAVRE,Models,1
PARIS C. KANELLAKIS,Environment,1
RAVI MURTHY,Data:,1
PIERANGELA SAMARATI,Detection,2
PIERANGELA SAMARATI,Intrusion,2
DENNIS MCLEOD,Models,1
FELIKS KLUZNIAK,'marseille,1
DEAN ROSENZWEIG,Definition,1
ALAN R. HEVNER,Design,1
JACK MILTON,Design,1
ALEXIEI DINGLI,Effective,1
TERRY A. HALPIN,Analysis,1
DEAN ROSENZWEIG,Correctness,1
ZBIGNIEW MICHALEWICZ,Evolutionary,1
ULRICH SCHIEL,Databases,1
Q. WU,System,1
FRANçOIS BANCILHON,O2,1
BERND MAHR,Forces,1
PARIS C. KANELLAKIS,Database,1
JOHN A. STANKOVIC,Systems,1
MICHAEL J. JIPPING,Imperative,1
VIJAY CHANDRU,Optimization,1
JüRGEN SAUER,Meta-scheduling,1
RICARDO LóPEZ PIETRO,Access,1
EGON BöRGER,Definition,1
DOMENICO SACCà,Base,1
HEIKO THIMM,Multimedia,1
G. GONZáLEZ,Case,2
JUAN DE LARA,Simulation,2
SHMUEL SAGIV,Shape,1
SUSHIL JAJODIA,Security,1
ALEXANDER TUZHILIN,Simulations,1
YORICK WILKS,Annotation,1
ANTONIO ALBANO,Dataid,1
FéLIX BUENDíA,Www,1
ANDRé OOSTERLINCK,Integration,1
S. TORRES,Suprasegmental,1
ROBIN MILNER,Semantics,1
HENK BARENDREGT,Dependent,1
A. GONZáLEZ,Purposes,1
S. TORRES,Articulated,1
MICHAEL J. MAHER,Programs,1
MATTEO PAMPOLINI,Towards,1
VIBBY GOTTEMUKKALA,Database,1
M. LACRUZ,Design,1
SANJAY MANCHANDA,Database,1
ROBERTO ZICARI,Framework,1
ALEXANDRU MATEESCU,Many-valued,1
PERETZ SHOVAL,Er,1
DIDIER PLATEAU,Programming,1
CYRIL U. ORJI,Hype?,1
PAOLO CIANCARINI,Tour,1
F. J. BLANCO,Software,1
PAOLO CONFORTO,Working,1
TERRY A. HALPIN,Comparison,1
CORAL CALERO,Quality,1
MANUEL SERRANO,Quality,1
A. M. MORENO,Adam,1
S. BING YAO,Interactive,1
EHUD Y. SHAPIRO,Typed,1
ALFREDO FERNáNDEZ-VALMAYOR,Applications,1
SUBRAMANIAN RAJAGOPALAN,Instuction,1
OLIVER JUNG,Implementierungstechnologien,1
ANTONIO ALBANO,Approach,1
ALEXANDER BOCKMAYR,Numerical,1
PETER MCBURNEY,Logics,1
RICARDO LóPEZ PIETRO,Pedagogical,1
PALOMA MARTINEZ,Relationship,1
JAMES HATFIELD,Fpc,1
JOSé LUIS SIERRA,Design,1
WITOLD STANISZKIS,Dbms,1
ULRICH SCHIEL,Maintenance,1
AMIT P. SHETH,Patch,1
SANJAY MANCHANDA,Language,1
DENNIS MCLEOD,Data,1
ROBIN MILNER,Operational,1
MARC H. SCHOLL,Database,2
STEVEN BLUNDY,Sequence,1
RAVI MUKKAMALA,Conflicts,1
S. TORRES,Intensity,1
ELENA CASTRO,Relationship,1
TOMáS A. PéREZ,An,1
M. N. MORENO,Adam,1
ELLEN RILOFF,Text,1
S. TODD,Relational,1
PADHRAIC SMYTH,Using,1
MICHAEL J. MAHER,Unification,1
S. BING YAO,Integration,1
Q. WU,Heuristic,1
ANTONIO NAVARRO,Using,1
JAN L. G. DIETZ,"Action,",1
MARTíN LLAMAS NISTAL,Training,1
JIM A. CRAMMOND,Prolog,1
HIROKO SHOJI,Human-to-human,1
MANUEL VELASCO,Relational,1
SHARAD MALIK,Word,1
HENDRIK PIETER BARENDREGT,Programming,1
M. N. MORENO,Case,2
MARTIN GAEDKE,Implementierungstechnologien,1
BORYS OMELAYENKO,Service,1
PAUL TARAU,Programming,2
NELSON MENDONçA MATTOS,Active,1
RAVI S. SANDHU,"Controls,",2
FRANçOIS BANCILHON,Query,1
ELIZABETH A. KENDALL,Reusable,1
R. VENUGOPAL,Mobile,1
CYRIL U. ORJI,Reality,1
THOM W. FRüHWIRTH,Typed,1
M. J. FERNáNDEZ,Training,1
RICARDO LóPEZ PIETRO,Construction,1
SUBRAMANIAN RAJAGOPALAN,Very,1
MATTEO PAMPOLINI,On-line,1
R. VENUGOPAL,Code,1
HARTMUT EHRIG,Driving,1
ANTONIO NAVARRO,Design,1
DONNA HARMAN,Modification,1
MARTíN LLAMAS NISTAL,Web-based,1
JUAN DE LARA,Reality,1
MIGUEL A. REDONDO,Learning,1
MICHAEL J. JIPPING,The,1
TERRY A. HALPIN,Information,1
PERETZ SHOVAL,Methods,1
J. V. BENLLOCH,Interconnecting,1
ANTONIO DI LEVA,Approach,1
MARTIN NUSSBAUMER,Implementierungstechnologien,1
TOMáS A. PéREZ,Construction,1
JAKUB ZAVREL,Feature-rich,1
ZBIGNIEW MICHALEWICZ,Algorithms?,1
PATRICK E. O'NEIL,Query,1
JIM A. CRAMMOND,Applications,1
A. MECCHIA,Design,1
VERóNICA DAHL,Internet,1
